Frame,Eye State,Pupil Position,Driving Status,Head Rotation,Head Front Tilt,Head Side Tilt
105,Open,Center,Focus,Center,Straight Front Ahead,Straight
106,Open,Center,Focus,Center,Straight Front Ahead,Straight
107,Open,Center,Focus,Center,Straight Front Ahead,Straight
108,Open,Center,Focus,Center,Straight Front Ahead,Straight
109,Open,Center,Focus,Center,Straight Front Ahead,Straight
110,Open,Center,Focus,Center,Straight Front Ahead,Straight
111,Open,Center,Focus,Center,Straight Front Ahead,Straight
112,Open,Center,Focus,Center,Straight Front Ahead,Straight
113,Open,Center,Focus,Center,Straight Front Ahead,Straight
114,Closed,Center,Distracted,Center,Front Tilt,Straight
115,Closed,Center,Distracted,Center,Front Tilt,Straight
116,Closed,Center,Distracted,Center,Front Tilt,Straight
117,Open,Center,Focus,Center,Straight Front Ahead,Straight
118,Open,Center,Focus,Center,Straight Front Ahead,Straight
119,Open,Center,Focus,Center,Straight Front Ahead,Straight
120,Open,Center,Focus,Center,Straight Front Ahead,Straight
121,Open,Center,Focus,Center,Straight Front Ahead,Straight
122,Open,Center,Focus,Center,Straight Front Ahead,Straight
123,Open,Center,Focus,Center,Straight Front Ahead,Straight
124,Open,Center,Focus,Center,Straight Front Ahead,Straight
125,Open,Center,Focus,Center,Straight Front Ahead,Straight
126,Open,Center,Focus,Center,Straight Front Ahead,Straight
127,Open,Center,Focus,Center,Straight Front Ahead,Straight
128,Open,Center,Focus,Center,Straight Front Ahead,Straight
129,Open,Center,Focus,Center,Straight Front Ahead,Straight
130,Open,Center,Focus,Center,Straight Front Ahead,Straight
131,Open,Center,Focus,Center,Straight Front Ahead,Straight
132,Open,Center,Focus,Center,Straight Front Ahead,Straight
133,Open,Center,Focus,Center,Straight Front Ahead,Straight
134,Open,Center,Focus,Center,Straight Front Ahead,Straight
135,Open,Center,Focus,Center,Straight Front Ahead,Straight
136,Open,Center,Focus,Center,Straight Front Ahead,Straight
137,Closed,Center,Distracted,Center,Front Tilt,Straight
138,Closed,Center,Distracted,Center,Front Tilt,Straight
139,Closed,Right,Distracted,Center,Straight Front Ahead,Straight
140,Open,Right,Focus,Center,Straight Front Ahead,Straight
141,Open,Right,Focus,Center,Straight Front Ahead,Straight
142,Open,Right,Focus,Center,Straight Front Ahead,Straight
143,Open,Right,Focus,Center,Straight Front Ahead,Straight
144,Open,Right,Focus,Center,Straight Front Ahead,Straight
145,Open,Right,Focus,Center,Straight Front Ahead,Straight
146,Open,Right,Focus,Center,Straight Front Ahead,Straight
147,Open,Right,Focus,Center,Straight Front Ahead,Straight
148,Open,Right,Focus,Center,Straight Front Ahead,Straight
149,Open,Right,Focus,Center,Straight Front Ahead,Straight
150,Open,Right,Focus,Center,Straight Front Ahead,Straight
151,Open,Right,Focus,Center,Straight Front Ahead,Straight
152,Open,Right,Focus,Center,Straight Front Ahead,Straight
153,Open,Right,Focus,Center,Straight Front Ahead,Straight
154,Open,Right,Focus,Center,Straight Front Ahead,Straight
155,Open,Right,Focus,Center,Straight Front Ahead,Straight
156,Open,Right,Focus,Center,Straight Front Ahead,Straight
157,Open,Right,Focus,Center,Straight Front Ahead,Straight
158,Open,Right,Focus,Center,Straight Front Ahead,Straight
159,Open,Center,Focus,Center,Front Tilt,Straight
160,Open,Center,Focus,Center,Front Tilt,Straight
161,Open,Center,Focus,Center,Front Tilt,Straight
162,Open,Center,Focus,Center,Front Tilt,Straight
163,Open,Center,Focus,Center,Front Tilt,Straight
164,Open,Center,Focus,Center,Front Tilt,Straight
165,Open,Center,Focus,Center,Front Tilt,Straight
166,Open,Center,Focus,Center,Front Tilt,Straight
167,Open,Center,Focus,Center,Front Tilt,Straight
168,Open,Center,Focus,Center,Front Tilt,Straight
169,Open,Center,Focus,Center,Front Tilt,Straight
170,Open,Center,Focus,Center,Front Tilt,Straight
171,Open,Center,Focus,Center,Front Tilt,Straight
172,Open,Center,Focus,Center,Front Tilt,Straight
173,Open,Center,Focus,Center,Front Tilt,Straight
174,Open,Center,Focus,Center,Front Tilt,Straight
175,Open,Center,Focus,Center,Front Tilt,Straight
176,Open,Center,Focus,Center,Straight Front Ahead,Straight
177,Open,Center,Focus,Center,Front Tilt,Straight
178,Open,Center,Focus,Center,Front Tilt,Straight
179,Open,Center,Focus,Center,Front Tilt,Straight
180,Open,Center,Focus,Center,Front Tilt,Straight
181,Open,Center,Focus,Center,Front Tilt,Straight
182,Open,Center,Focus,Center,Straight Front Ahead,Straight
183,Open,Center,Focus,Center,Straight Front Ahead,Straight
184,Open,Center,Focus,Center,Front Tilt,Straight
185,Open,Center,Focus,Center,Straight Front Ahead,Straight
186,Open,Center,Focus,Center,Straight Front Ahead,Straight
187,Open,Center,Focus,Center,Straight Front Ahead,Straight
188,Open,Center,Focus,Center,Straight Front Ahead,Straight
189,Open,Center,Focus,Center,Straight Front Ahead,Straight
190,Open,Center,Focus,Center,Straight Front Ahead,Straight
191,Open,Center,Focus,Center,Straight Front Ahead,Straight
192,Open,Center,Focus,Center,Straight Front Ahead,Straight
193,Open,Center,Focus,Center,Straight Front Ahead,Straight
194,Open,Center,Focus,Center,Straight Front Ahead,Straight
195,Open,Center,Focus,Center,Straight Front Ahead,Straight
196,Open,Center,Focus,Center,Straight Front Ahead,Straight
197,Open,Center,Focus,Center,Straight Front Ahead,Straight
198,Open,Center,Focus,Center,Straight Front Ahead,Straight
199,Open,Center,Focus,Center,Straight Front Ahead,Straight
200,Open,Center,Focus,Center,Straight Front Ahead,Straight
201,Open,Center,Focus,Center,Straight Front Ahead,Straight
202,Open,Center,Focus,Center,Straight Front Ahead,Straight
203,Open,Center,Focus,Center,Straight Front Ahead,Straight
204,Open,Center,Focus,Center,Straight Front Ahead,Straight
205,Open,Center,Focus,Center,Straight Front Ahead,Straight
206,Open,Center,Focus,Center,Straight Front Ahead,Straight
207,Open,Center,Focus,Center,Straight Front Ahead,Straight
208,Open,Center,Focus,Center,Straight Front Ahead,Straight
209,Open,Center,Focus,Center,Straight Front Ahead,Straight
210,Open,Center,Focus,Center,Straight Front Ahead,Straight
211,Open,Center,Focus,Center,Straight Front Ahead,Straight
212,Open,Center,Focus,Center,Straight Front Ahead,Straight
213,Open,Center,Focus,Center,Straight Front Ahead,Straight
214,Open,Center,Focus,Center,Straight Front Ahead,Straight
215,Open,Center,Focus,Center,Straight Front Ahead,Straight
216,Open,Center,Focus,Center,Straight Front Ahead,Straight
217,Open,Center,Focus,Center,Straight Front Ahead,Straight
218,Open,Center,Focus,Center,Straight Front Ahead,Straight
219,Open,Center,Focus,Center,Straight Front Ahead,Straight
220,Open,Center,Focus,Center,Straight Front Ahead,Straight
221,Open,Center,Focus,Center,Straight Front Ahead,Straight
222,Open,Center,Focus,Center,Straight Front Ahead,Straight
223,Open,Center,Focus,Center,Straight Front Ahead,Straight
224,Open,Center,Focus,Center,Straight Front Ahead,Straight
225,Open,Center,Focus,Center,Straight Front Ahead,Straight
226,Open,Center,Focus,Center,Straight Front Ahead,Straight
227,Open,Center,Focus,Center,Straight Front Ahead,Straight
228,Open,Center,Focus,Center,Straight Front Ahead,Straight
229,Open,Center,Focus,Center,Straight Front Ahead,Straight
230,Open,Center,Focus,Center,Straight Front Ahead,Straight
231,Open,Center,Focus,Center,Straight Front Ahead,Straight
232,Open,Center,Focus,Center,Straight Front Ahead,Straight
233,Open,Center,Focus,Center,Straight Front Ahead,Straight
234,Open,Center,Focus,Center,Straight Front Ahead,Straight
235,Open,Center,Focus,Center,Straight Front Ahead,Straight
236,Open,Center,Focus,Center,Straight Front Ahead,Straight
237,Open,Center,Focus,Center,Straight Front Ahead,Straight
238,Open,Center,Focus,Center,Straight Front Ahead,Straight
239,Open,Center,Focus,Center,Straight Front Ahead,Straight
240,Open,Center,Focus,Center,Straight Front Ahead,Straight
241,Open,Center,Focus,Center,Straight Front Ahead,Straight
242,Open,Center,Focus,Center,Straight Front Ahead,Straight
243,Open,Center,Focus,Center,Straight Front Ahead,Straight
244,Open,Center,Focus,Center,Straight Front Ahead,Straight
245,Open,Center,Focus,Center,Straight Front Ahead,Straight
246,Open,Center,Focus,Center,Straight Front Ahead,Straight
247,Open,Center,Focus,Center,Straight Front Ahead,Straight
248,Open,Center,Focus,Center,Straight Front Ahead,Straight
249,Open,Center,Focus,Center,Straight Front Ahead,Straight
250,Open,Center,Focus,Center,Straight Front Ahead,Straight
251,Open,Center,Focus,Center,Straight Front Ahead,Straight
252,Open,Center,Focus,Center,Straight Front Ahead,Straight
253,Open,Center,Focus,Center,Straight Front Ahead,Straight
254,Open,Center,Focus,Center,Straight Front Ahead,Straight
255,Open,Center,Focus,Center,Straight Front Ahead,Straight
256,Open,Center,Focus,Center,Straight Front Ahead,Straight
257,Open,Center,Focus,Center,Straight Front Ahead,Straight
258,Open,Center,Focus,Center,Straight Front Ahead,Straight
259,Open,Center,Focus,Center,Straight Front Ahead,Straight
260,Open,Center,Focus,Center,Straight Front Ahead,Straight
261,Open,Center,Focus,Center,Straight Front Ahead,Straight
262,Open,Center,Focus,Center,Straight Front Ahead,Straight
263,Open,Center,Focus,Center,Straight Front Ahead,Straight
264,Open,Center,Focus,Center,Straight Front Ahead,Straight
265,Open,Center,Focus,Center,Straight Front Ahead,Straight
266,Open,Center,Focus,Center,Straight Front Ahead,Straight
267,Open,Center,Focus,Center,Straight Front Ahead,Straight
268,Open,Center,Focus,Center,Straight Front Ahead,Straight
269,Open,Center,Focus,Center,Straight Front Ahead,Straight
270,Open,Center,Focus,Center,Straight Front Ahead,Straight
271,Open,Center,Focus,Center,Straight Front Ahead,Straight
